0x0000	0x00-1
0x021E	0x5238
0x021F	0x5237
0x0220	0x523A
0x0221	0x5230
0x0222	0x522E
0x0223	0x5236
0x0224	0x5241
0x0225	0x524E
0x0226	0x5243
0x0227	0x524A
0x0228	0x524D
0x0229	0x524C
0x022A	0x524B
0x022B	0x5247
0x022C	0x5256
0x022D	0x525C
0x022E	0x5254
0x022F	0x525B
0x0230	0x525D
0x0231	0x526A
0x0232	0x526F
0x0233	0x5272
0x0234	0x5274
0x0235	0x5275
0x0236	0x5269
0x0237	0x527F
0x0238	0x5277
0x0239	0x527D
0x023A	0x5283
0x023B	0x5287
0x023C	0x5288
0x023D	0x5289
0x023E	0x528D
0x023F	0x5291
0x0240	0x529B
0x0241	0x52A0
0x0242	0x529F
0x0243	0x52A3
0x0244	0x52AB
0x0245	0x52A9
0x0246	0x52AA
0x0247	0x52AC
0x0248	0x52BE
0x0249	0x52C7
0x024A	0x52C9
0x024B	0x52C3
0x024C	0x52C1
0x024D	0x52D2
0x024E	0x52D9
0x024F	0x52D8
0x0250	0x52D5
0x0251	0x52DE
0x0252	0x52DD
0x0253	0x52DB
0x0254	0x52DF
0x0255	0x52E6
0x0256	0x52E4
0x0257	0x52E2
0x0258	0x52F5
0x0259	0x52F8
0x025A	0x52FB
0x025B	0x52FE
0x025C	0x52FF
0x025D	0x5305
0x025E	0x5306
0x025F	0x5308
0x0260	0x530D
0x0261	0x5310
0x0262	0x530F
0x0263	0x5315
0x0264	0x5316
0x0265	0x5317
0x0266	0x5319
0x0267	0x531D
0x0268	0x5321
0x0269	0x5320
0x026A	0x5323
0x026B	0x532A
0x026C	0x532F
0x026D	0x5331
0x026E	0x5339
0x026F	0x533F
0x0270	0x5340
0x0271	0x533E
0x0272	0x5341
0x0273	0x5343
0x0274	0x5348
0x0275	0x5347
0x0276	0x5345
0x0277	0x4EDF
0x0278	0x534A
0x0279	0x5349
0x027A	0x5352
0x027B	0x5354
0x027C	0x5353
0x027D	0x5351
0x027E	0x5357
0x027F	0x535A
0x0280	0x535C
0x0281	0x535E
0x0282	0x5361
0x0283	0x5360
0x0284	0x5366
0x0285	0x536F
0x0286	0x536E
0x0287	0x5370
0x0288	0x5371
0x0289	0x5373
0x028A	0x5375
0x028B	0x5377
0x028C	0x5378
0x028D	0x5379
0x028E	0x537B
0x028F	0x537F
0x0290	0x5384
0x0291	0x539A
0x0292	0x539F
0x0293	0x539D
0x0294	0x53A5
0x0295	0x53AD
0x0296	0x53B2
0x0297	0x53BB
0x0298	0x53C3
0x0299	0x53C8
0x029A	0x53C9
0x029B	0x53CB
